City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
458,Abu Dhabi,AE,24.4667,54.3667,77.97,93,100,5.75,fog
459,Pacifica,US,37.6138,-122.4869,55.6,79,20,19.57,few clouds
460,Shingu,JP,33.7333,135.9833,67.44,92,100,10.8,light rain
461,Tilichiki,RU,60.4667,166.1,19.22,88,100,6.53,overcast clouds
462,Hualmay,PE,-11.0964,-77.6139,63.75,83,58,9.33,broken clouds
463,Saldanha,ZA,-33.0117,17.9442,60.55,87,1,8.88,clear sky
464,Acajutla,SV,13.5928,-89.8275,79.57,83,43,4.56,scattered clouds
465,Yerbogachen,RU,61.2767,108.0108,-11.29,99,53,1.57,broken clouds
466,Paka,MY,4.6374,103.4368,78.39,83,100,4.59,overcast clouds
467,Sisimiut,GL,66.9395,-53.6735,20.5,75,100,2.04,overcast clouds
468,Margate,GB,51.3813,1.3862,54.9,97,70,1.99,broken clouds
469,Payakumbuh,ID,-0.2202,100.6308,74.46,92,99,3.04,overcast clouds
470,Kahului,US,20.8947,-156.47,79.97,79,30,11.01,scattered clouds
471,Unterseen,CH,46.6853,7.8472,42.21,40,27,4.16,scattered clouds
472,Pasco,US,28.292,-82.4165,71.46,69,5,3.78,clear sky
473,Salinopolis,BR,-0.6136,-47.3561,80.24,77,57,11.23,broken clouds
474,Sao Francisco Do Sul,BR,-26.2433,-48.6381,66.96,95,91,4.88,overcast clouds
